"","origin","dest","dep_delay","arr_delay","visib","carrier"
"1","DEN","LGA","<=15","<=15",10,"B6"
"2","SLC","EWR","<=15","<=15",3,"UA"
"3","PHX","EWR","<=15","<=15",5,"UA"
"4","EWR","IAH","15-30",">60",2,"UA"
"5","EWR","FLL","<=15","<=15",6,"NK"
"6","MCO","LGA",">60",">60",10,"NK"
"7","EWR","MIA","<=15","<=15",10,"AA"
"8","SYR","JFK","<=15","<=15",0.24,"B6"
"9","BOS","JFK","<=15","<=15",0.5,"B6"
"10","LGA","MIA","<=15","<=15",10,"AA"
"11","EWR","FLL","30-45","30-45",6,"B6"
"12","ATL","JFK","30-45","45-60",0.5,"DL"
"13","JFK","PBI","<=15","<=15",1.5,"B6"
"14","EWR","ORD","<=15","<=15",5,"AA"
"15","RDU","EWR","<=15","15-30",5,"UA"
"16","MIA","LGA","<=15","<=15",10,"NK"
"17","ROC","JFK","<=15","<=15",0.5,"9E"
"18","PWM","JFK","45-60","15-30",0.5,"9E"
"19","SYR","JFK","<=15","<=15",0.5,"9E"
"20","BGR","JFK","<=15","<=15",0.5,"9E"
"21","LGA","MDW","<=15","<=15",6,"WN"
"22","EWR","MCO","<=15","<=15",1,"NK"
"23","PBI","LGA","<=15","<=15",10,"B6"
"24","LGA","FLL","15-30","15-30",6,"NK"
"25","MCO","EWR","15-30","<=15",5,"NK"
"26","LGA","MCO","<=15","<=15",1,"B6"
"27","EWR","MCO",">60",">60",1,"B6"
"28","LAX","JFK","<=15","<=15",10,"AA"
"29","JFK","SLC","15-30","15-30",1.5,"DL"
"30","LGA","ATL","<=15","<=15",0.25,"WN"
"31","JFK","MIA","<=15","<=15",10,"AA"
"32","JFK","ATL",">60",">60",0.25,"DL"
"33","LGA","ATL","<=15","<=15",0.25,"DL"
"34","SFO","EWR","<=15","<=15",10,"AS"
"35","LGA","PBI","<=15","<=15",1.5,"B6"
"36","SEA","EWR","<=15","<=15",10,"UA"
"37","LAX","JFK","<=15","<=15",10,"B6"
"38","TPA","JFK","<=15","15-30",8,"B6"
"39","EWR","DTW","<=15","<=15",9,"DL"
"40","EWR","SNA","30-45","30-45",10,"UA"
"41","BUF","EWR","15-30","<=15",5,"UA"
"42","EWR","FLL","<=15","<=15",6,"UA"
"43","ATL","JFK","<=15","<=15",8,"B6"
"44","EWR","CLE","<=15","<=15",8,"UA"
"45","EWR","MCO","<=15","<=15",1,"UA"
"46","BNA","LGA","<=15","<=15",10,"WN"
"47","LGA","MSP","<=15","<=15",8,"DL"
"48","CLE","EWR","<=15","<=15",5,"UA"
"49","JFK","MIA","<=15","<=15",10,"AA"
"50","EWR","BNA","<=15","<=15",3,"UA"
"51","EWR","ORD","<=15","<=15",5,"UA"
"52","SYR","EWR","<=15","<=15",5,"UA"
"53","LGA","DEN","<=15","<=15",10,"WN"
"54","LGA","DTW",">60",">60",9,"DL"
"55","EWR","BNA","<=15","<=15",2,"NK"
"56","EWR","IAD",">60","45-60",0.24,"UA"
"57","CLT","EWR","<=15","<=15",5,"UA"
"58","CHS","EWR","<=15","<=15",5,"UA"
"59","EWR","SEA","<=15","<=15",9,"UA"
"60","LGA","MYR","<=15","<=15",10,"NK"
"61","BOS","EWR","<=15","<=15",5,"UA"
"62","MSY","EWR",">60",">60",5,"UA"
"63","EWR","PBI","<=15","<=15",1.5,"UA"
"64","DFW","JFK","15-30","<=15",4,"B6"
"65","MSP","JFK","<=15","<=15",5,"B6"
"66","ORH","JFK","15-30","<=15",0.5,"B6"
"67","DFW","EWR","<=15","<=15",5,"UA"
"68","JFK","LAS","<=15","<=15",10,"B6"
"69","IND","EWR","<=15","<=15",4,"NK"
"70","LAS","EWR","<=15","<=15",10,"NK"
"71","EWR","ATL",">60",">60",0.25,"DL"
"72","LGA","HOU","<=15","<=15",2,"WN"
"73","PBI","JFK","<=15","<=15",5,"B6"
"74","JFK","MIA","15-30","<=15",10,"B6"
"75","JFK","TPA","15-30","15-30",4,"B6"
"76","EWR","MIA","<=15","<=15",10,"UA"
"77","LGA","MIA","<=15","<=15",10,"AA"
"78","LGA","ORD","<=15","<=15",5,"AA"
"79","EWR","ORD",">60",">60",6,"AA"
"80","EWR","MIA","<=15","<=15",10,"NK"
"81","MCO","JFK","15-30","30-45",8,"B6"
"82","IND","EWR","<=15","<=15",4,"UA"
"83","DAL","LGA","<=15","<=15",10,"WN"
"84","SRQ","EWR","<=15","<=15",4,"UA"
"85","IAH","EWR","<=15","<=15",5,"UA"
"86","MCO","EWR","<=15","<=15",4,"UA"
"87","IAD","EWR","<=15","<=15",5,"UA"
"88","MSP","EWR","<=15","<=15",5,"UA"
"89","PBI","EWR","<=15","<=15",4,"UA"
"90","MIA","LGA","<=15","<=15",10,"AA"
"91","SAV","LGA","<=15","<=15",10,"B6"
"92","MIA","EWR","<=15","<=15",5,"UA"
"93","MCI","EWR","<=15","<=15",5,"UA"
"94","MCO","EWR","<=15","<=15",5,"UA"
"95","JAX","EWR","<=15","<=15",4,"UA"
"96","PHL","EWR","<=15","<=15",5,"UA"
"97","SAT","EWR","<=15","<=15",5,"UA"
"98","MCO","EWR","<=15","15-30",4,"B6"
"99","PHX","EWR","<=15","<=15",7,"UA"
"100","PWM","EWR","<=15","<=15",5,"UA"
"101","MCI","JFK","<=15","<=15",5,"B6"
"102","BTV","EWR","<=15","<=15",5,"UA"
"103","MEM","EWR","<=15","<=15",5,"UA"
"104","FLL","EWR","<=15","<=15",5,"UA"
"105","STL","LGA","<=15","<=15",10,"WN"
"106","DEN","LGA","<=15","<=15",10,"WN"
"107","CHS","JFK","<=15","<=15",8,"B6"
"108","HOU","LGA","<=15","<=15",10,"WN"
"109","ATL","LGA","<=15","<=15",10,"WN"
"110","MDW","LGA","<=15","<=15",10,"WN"
"111","GSP","EWR","<=15","<=15",4,"YX"
"112","DTW","EWR",">60","45-60",4,"YX"
"113","ALB","EWR","<=15","<=15",5,"YX"
"114","ORF","EWR","<=15","<=15",5,"YX"
"115","ROC","EWR","<=15","<=15",5,"YX"
"116","GSO","EWR","<=15","<=15",5,"YX"
"117","MHT","EWR","<=15","<=15",5,"YX"
"118","ILM","EWR","<=15","<=15",5,"YX"
"119","PVD","EWR","<=15","<=15",5,"YX"
"120","CVG","EWR","<=15","<=15",4,"YX"
"121","GRR","EWR","<=15","<=15",4,"YX"
"122","PIT","EWR","<=15","<=15",5,"YX"
"123","IAH","LGA","<=15","<=15",10,"NK"
"124","RDU","JFK","<=15","<=15",8,"9E"
"125","BOS","JFK","<=15","<=15",0.5,"YX"
"126","JFK","LAX","<=15","<=15",10,"AA"
"127","JFK","SEA","<=15","<=15",6,"AS"
"128","SEA","EWR","<=15","<=15",10,"AS"
"129","JFK","SFO","<=15","<=15",10,"AS"
"130","JFK","SEA","<=15","<=15",6,"DL"
"131","LGA","DFW","<=15","<=15",10,"AA"
"132","JFK","BUR","45-60",">60",10,"B6"
"133","JFK","SFO","30-45","<=15",10,"DL"
"134","ATL","EWR",">60",">60",5,"UA"
"135","EWR","SFO","15-30","30-45",10,"AS"
"136","JFK","MSP","<=15","<=15",7,"DL"
"137","JFK","MCO","<=15","<=15",4,"B6"
"138","AUS","EWR","<=15","<=15",7,"UA"
"139","EWR","ATL","<=15","<=15",0.25,"UA"
"140","LAX","JFK","<=15","<=15",10,"AA"
"141","LGA","STL","<=15","<=15",10,"WN"
"142","EWR","IAH","<=15","<=15",1,"UA"
"143","JFK","PHX","<=15","<=15",6,"DL"
"144","BNA","EWR","<=15","<=15",5,"UA"
"145","LAX","JFK","<=15","<=15",10,"DL"
"146","LGA","MSP","<=15","<=15",5,"DL"
"147","SEA","JFK","<=15","<=15",10,"DL"
"148","EWR","SEA",">60",">60",6,"AS"
"149","EWR","SAN","<=15","<=15",1.75,"UA"
"150","DTW","EWR","<=15","<=15",4,"UA"
"151","SAN","JFK","45-60","30-45",10,"DL"
"152","ORD","LGA","<=15","<=15",10,"AA"
"153","PDX","JFK","<=15","<=15",10,"DL"
"154","JFK","PBI","<=15","<=15",1.5,"B6"
"155","LGA","DAL","<=15","<=15",10,"WN"
"156","SNA","EWR","<=15","<=15",10,"UA"
"157","EWR","SRQ","<=15","<=15",0.24,"UA"
"158","EWR","PHX","<=15","<=15",7,"UA"
"159","FLL","EWR","<=15","<=15",5,"NK"
"160","JFK","FLL",">60",">60",5,"DL"
"161","EWR","JAX","<=15","<=15",0.13,"UA"
"162","EWR","RSW","<=15","<=15",0.25,"UA"
"163","EWR","RDU","<=15","<=15",10,"UA"
"164","ORD","LGA","<=15","<=15",10,"DL"
"165","SFO","JFK","<=15","<=15",10,"DL"
"166","LGA","MIA","<=15","<=15",10,"DL"
"167","JFK","TPA","<=15","<=15",0.5,"DL"
"168","EWR","TPA",">60",">60",0.5,"UA"
"169","JFK","RSW","<=15","<=15",0.24,"DL"
"170","LGA","MIA","<=15","<=15",10,"AA"
"171","LGA","FLL","<=15","<=15",5,"DL"
"172","JFK","MIA",">60","30-45",10,"AA"
"173","EWR","MSY","45-60","45-60",0.13,"UA"
"174","JFK","ORD","<=15","<=15",6,"B6"
"175","IAH","EWR","<=15","<=15",8,"UA"
"176","EWR","BZN","<=15","<=15",10,"UA"
"177","LGA","TPA","<=15","<=15",0.5,"DL"
"178","PBI","LGA","<=15","<=15",10,"DL"
"179","EWR","MSP","<=15","<=15",7,"DL"
"180","EWR","LAX",">60",">60",10,"UA"
"181","LGA","DEN","<=15","<=15",10,"B6"
"182","JFK","MIA","15-30","15-30",10,"DL"
"183","EWR","BOS","<=15","<=15",10,"UA"
"184","JFK","DFW","<=15","<=15",10,"AA"
"185","EWR","DEN","<=15","<=15",10,"UA"
"186","JFK","FLL","<=15","<=15",5,"B6"
"187","LGA","MCO","<=15","15-30",1,"DL"
"188","LGA","PBI","<=15","<=15",1.5,"DL"
"189","LGA","IAH","<=15","<=15",1,"UA"
"190","LGA","DEN","<=15","<=15",10,"UA"
"191","SFO","JFK","<=15","<=15",10,"AS"
"192","EWR","ATL","<=15","<=15",0.25,"DL"
"193","EWR","MIA","<=15","<=15",10,"AA"
"194","EWR","SDF","<=15","<=15",5,"YX"
"195","EWR","PWM","<=15","<=15",0.5,"YX"
"196","EWR","SYR","<=15","<=15",10,"YX"
"197","BNA","LGA","<=15","<=15",10,"AA"
"198","LAS","EWR","<=15","<=15",10,"UA"
"199","LGA","BNA","<=15","<=15",2,"WN"
"200","FLL","LGA","<=15","<=15",10,"DL"
"201","MSY","LGA","<=15",">60",10,"DL"
"202","JFK","DCA","<=15","<=15",0.24,"YX"
"203","FLL","EWR","<=15","15-30",5,"UA"
"204","SFO","EWR",">60",">60",10,"UA"
"205","MSN","EWR","<=15","<=15",5,"UA"
"206","PBI","JFK","<=15","<=15",4,"DL"
"207","PBI","EWR","<=15","<=15",5,"UA"
"208","CLT","JFK","<=15","<=15",5,"AA"
"209","TPA","JFK","<=15","<=15",4,"DL"
"210","MIA","LGA","<=15","<=15",10,"DL"
"211","DTW","LGA","<=15","<=15",10,"NK"
"212","LAX","EWR","<=15","<=15",10,"UA"
"213","LGA","BOS","<=15","<=15",10,"YX"
"214","IAD","EWR","<=15","<=15",4,"UA"
"215","TPA","LGA",">60",">60",10,"DL"
"216","RSW","EWR","<=15","<=15",5,"UA"
"217","AUS","JFK","<=15","<=15",8,"AA"
"218","FLL","JFK","<=15","<=15",5,"DL"
"219","MIA","JFK","<=15","<=15",4,"AA"
"220","MCO","LGA","<=15","<=15",10,"DL"
"221","BOS","EWR","<=15","<=15",4,"B6"
"222","TPA","LGA","<=15","<=15",10,"WN"
"223","MIA","JFK","<=15","<=15",4,"DL"
"224","MSP","LGA","<=15","<=15",10,"DL"
"225","RSW","LGA","<=15","<=15",10,"DL"
"226","CMH","EWR","<=15","<=15",4,"YX"
"227","PIT","EWR","<=15","<=15",4,"YX"
"228","RDU","JFK","<=15","<=15",5,"YX"
"229","BUF","LGA","<=15","<=15",10,"9E"
"230","MSP","JFK","<=15","<=15",4,"9E"
"231","RDU","LGA",">60","30-45",10,"9E"
"232","BNA","LGA","<=15","<=15",10,"9E"
"233","BGR","LGA","<=15","<=15",10,"9E"
"234","JAX","JFK","<=15","<=15",5,"YX"
"235","PIT","LGA","<=15","<=15",10,"YX"
"236","DCA","JFK","<=15","<=15",8,"YX"
"237","LAX","JFK","<=15","<=15",10,"AA"
"238","JFK","TPA","45-60","30-45",0.24,"B6"
"239","JFK","SAN","<=15","<=15",1.75,"B6"
"240","JFK","DTW","<=15","<=15",7,"B6"
"241","JFK","SAN",">60",">60",10,"DL"
